activityID,personSubjID,personObjID,action,details,placeID
18,3118.0,,came,under the control of the Inspectorate of Concentration Camps (IKL) and thereby under the control of Theodor Eicke.,39
19,5476.0,,were,"Polizei-Hauptwachtmeister Carl Haubenreisser, from November 2, 1933, to April 1, 1936, and SS-Sturmbannführer Albert Sauer, from April 1, 1936, to July 15, 1937.",39
20,12722.0,,were,"Polizei-Hauptwachtmeister Carl Haubenreisser, from November 2, 1933, to April 1, 1936, and SS-Sturmbannführer Albert Sauer, from April 1, 1936, to July 15, 1937.",39
21,11959.0,,won,release after his colleagues vouched for his classroom conduct and character.,43
22,14267.0,,illustrated,early Nazi antisemitic persecution in Bamberg and also how some early detainees sometimes stood trial for political reasons.,43
23,14268.0,,taken,into protective custody.,43
24,5314.0,,banned,"their public activities, and the police shut down the 28-member meetinghouse, without making arrests.",43
25,15551.0,,employed,special commissars to implement especially radical measures.,43
26,11501.0,,convened,"a meeting in defiance of Hager’s decree, the Bamberg Political Police placed him in protective custody on July 18.",43
27,0.0,,consisted,"of 3 political prisoners from Forchheim, 3 from Hassfurt, 5 from Hofheim, and only 1, Jewish student teacher Willi Aaron, from the city of Bamberg.",43
28,13341.0,,shouted,the slogans “Red Front” and “Hail Moscow.” He was arrested on the spot.,43
29,13113.0,,caused,a local sensation and resulted in a death sentence for Schriefer.,43
30,553.0,,detained,on three occasions.,43
31,8470.0,,were,Reichstag member and Prelate Johann Leicht as well as Bavarian parliament member and Bamberger Volksblatt director Georg Meixner.,43
32,9592.0,,were,Reichstag member and Prelate Johann Leicht as well as Bavarian parliament member and Bamberger Volksblatt director Georg Meixner.,43
33,4076.0,,resulted,"in the detention of two Roman Catholic priests, Curate Martin Förtsch from Hohengüssbach and Father Schütz from Burgebrach.",43
34,2245.0,,ordered,"the director of the provincial workhouse at Benninghausen, Dr. Hans Clemens, to provide space for a “protective custody” camp.",54
35,11186.0,,was,"commandant, and Oberlandjäger Scheffer headed the SA guards.",54
36,9231.0,,addressed,a group of prisoners entraining for Papenburg.,54
37,9231.0,,made,a short speech to the transport at the Benninghausen railway station.,54
38,,13155.0,sentenced,A court,54
39,8166.0,,received,two years’ confinement.,54
40,3955.0,,turned,to the Unna rural district administrator and pointed out the difficult situation.,60
41,14783.0,,took,"up the idea soon after he commenced duties on March 27, 1933.",60
42,5224.0,,took,"up the idea soon after he commenced duties on March 27, 1933.",60
43,5827.0,,worked,for the Gelsenkirchen Bergwerk AG (Gelsenkirchen Mining Corporation).,60
44,,3990.0,asked,He,60
45,1302.0,,was,"under the command of Willy Boddeutsch, a local of Kamen.",60
46,1979.0,,was,"Ewald Büsing, a local of Bergkamen.",60
47,7270.0,,summoned,"to Berlin as commissioner for economic issues (Beauftrager für Wirtschaftsfragen)—advised the Bergkamen camp administration on October 20, 1933, that following a general order of the Minister of the Interior, the concentration camp was to be dissolved.",60
48,14783.0,,summoned,"to Berlin as commissioner for economic issues (Beauftrager für Wirtschaftsfragen)—advised the Bergkamen camp administration on October 20, 1933, that following a general order of the Minister of the Interior, the concentration camp was to be dissolved.",60
49,7802.0,,was,"Leo Krell, who was sent to the prison on March 16, 1933, and who received prisoner number 45.",61
50,7286.0,,entered,"the prison eight months later on November 28, 1933.",61
51,11082.0,,arrested,"on March 21, 1933, in Berlin-Biesdorf.",61
52,5837.0,,died,"in the Pape-strasse camp itself, such as architect Paul Hipler (July 29, 1933); Kurt Kaiser (April 13, 1933), because he had insulted the Führer; the Communists Max Krausch (July 3, 1933) and Ewald Vogt (August 21, 1933); Max Lukas, who had no political affiliations; the tobacconist Kurt Miesske (July 31, 1933); and many others.",61
53,6579.0,,died,"in the Pape-strasse camp itself, such as architect Paul Hipler (July 29, 1933); Kurt Kaiser (April 13, 1933), because he had insulted the Führer; the Communists Max Krausch (July 3, 1933) and Ewald Vogt (August 21, 1933); Max Lukas, who had no political affiliations; the tobacconist Kurt Miesske (July 31, 1933); and many others.",61
54,7761.0,,died,"in the Pape-strasse camp itself, such as architect Paul Hipler (July 29, 1933); Kurt Kaiser (April 13, 1933), because he had insulted the Führer; the Communists Max Krausch (July 3, 1933) and Ewald Vogt (August 21, 1933); Max Lukas, who had no political affiliations; the tobacconist Kurt Miesske (July 31, 1933); and many others.",61
55,15453.0,,died,"in the Pape-strasse camp itself, such as architect Paul Hipler (July 29, 1933); Kurt Kaiser (April 13, 1933), because he had insulted the Führer; the Communists Max Krausch (July 3, 1933) and Ewald Vogt (August 21, 1933); Max Lukas, who had no political affiliations; the tobacconist Kurt Miesske (July 31, 1933); and many others.",61
56,8992.0,,died,"in the Pape-strasse camp itself, such as architect Paul Hipler (July 29, 1933); Kurt Kaiser (April 13, 1933), because he had insulted the Führer; the Communists Max Krausch (July 3, 1933) and Ewald Vogt (August 21, 1933); Max Lukas, who had no political affiliations; the tobacconist Kurt Miesske (July 31, 1933); and many others.",61
57,9791.0,,died,"in the Pape-strasse camp itself, such as architect Paul Hipler (July 29, 1933); Kurt Kaiser (April 13, 1933), because he had insulted the Führer; the Communists Max Krausch (July 3, 1933) and Ewald Vogt (August 21, 1933); Max Lukas, who had no political affiliations; the tobacconist Kurt Miesske (July 31, 1933); and many others.",61
58,,7765.0,gained,The only additional information to be,61
59,4749.0,,reported,"not only being beaten in the face but also having had an acid injected into his urethra, which resulted in severe pain until his death in 1997.",61
60,14925.0,,was,able to avoid being transported to the Oranienburg concentration camp on the fifth day of his imprisonment.,61
61,4225.0,,is,the only known case of someone who was arrested because of crimes against humanity.,61
62,6425.0,,recognized,"him as the man who “[had] beat him with his fist and [had] injured his eye with a ruler.” With the assistance of the Berliner Zeitung (BZ) newspaper, on October 1, 1947, an appeal was made for more witnesses who could say something about the man who was able to obtain work without disclosing his Nazi Party and SA membership.",61
63,9152.0,,headed,by Hans Maikowsky and was known as the “Sturm of the Assassins” because of its many violent clashes with political opponents.,817
64,,5865.0,honor,"On January 30, 1933, the SS organized a torchlight procession through the Berlin government district to",817
65,16485.0,,shot,dead.,817
66,9152.0,,shot,dead.,817
67,11009.0,,writes,that the SA took over the former People’s House in February 1933 and renamed it “Maikowski House” in honor of the dead Sturmführer.,817
68,5608.0,,based,in Rosinenstrasse under the command of Standartenführer Berthold Hell.,817
69,4321.0,,were,more than 40 others during her period of custody in the cellar of the former assembly building.,817
70,14491.0,,describes,"the torture methods applied to him in the Maikowski House:
Three SA-men take Stefan into another room.",817
71,5838.0,,remembers,"a specially constructed torture chair overutilized while he was interrogated: “While one of the SA men sat on my neck, the other got a square-shaped wooden block with a screw fixed at one end which also functioned as a joint.",817
72,5435.0,,subdistrict,"head of the Charlottenburg branch of the German Communist Party (KPD), and Walter Drescher, member of the Communist Homes’ Protection Squad (Häuserschutzstaffel), were beaten to death.",817
73,2823.0,,beaten,to death.,817
74,12770.0,,died,from his injuries after they chopped off both his hands.,817
75,2091.0,,interrogated,in the Maikowski House and mistreated there.,817
76,5224.0,,stopped,because of the intervention of Prussian Prime Minister Hermann Göring in June 1934.,817
77,,5608.0,mention,"In their memoirs, former prisoners repeatedly",817
78,,7976.0,mention,"In their memoirs, former prisoners repeatedly",817
79,5144.0,,put,part of their building at Friedrichstrasse 234 at the disposal of the SA-Sturmbann III/8.,819
80,3927.0,,tried,to find out the whereabouts of their parents in order to arrest them.,819
81,3291.0,,visited,"Friedrichstrasse after the committal of around 100 prisoners on March 5, 1933.",819
82,2964.0,,were,"SA-Sturmbannführer Wilhelm Dörge and his adjutant, Sturmführer Kurt Buchmüller.",819
83,1791.0,,were,"SA-Sturmbannführer Wilhelm Dörge and his adjutant, Sturmführer Kurt Buchmüller.",819
84,,1791.0,sentenced,"On the basis of an appeal through the press and the resultant witness statements, a Soviet military tribunal",819
85,954.0,,carried,"out by, among others, SA-Sturmführer Julius Bergmann, head of SA section Ic (Intelligence Department) and commissioner in the Prussian Ministry of the Interior.",820
86,3291.0,,declared,Hedemannstrasse 5 to be the central detention site for the eastern part of Berlin.,820
87,7777.0,,writes,"about his arrest on April 13, 1933: “When I entered the arrest room, there were about fifteen to seventeen prisoners there, some of whom had clear signs of torture and beatings.",820
88,14236.0,,beaten,unconscious.” Walter Stiller from Pankow was beaten up every hour on orders of Julius Bergmann because he had complained that he had been mistreated in an anteroom.,820
89,954.0,,beaten,unconscious.” Walter Stiller from Pankow was beaten up every hour on orders of Julius Bergmann because he had complained that he had been mistreated in an anteroom.,820
90,,13792.0,concerning,The SA conducted its own investigation,820
91,10723.0,,jumped,"from the third-floor window of Hedemannstrasse 5 on April 23, 1933, and died on the spot.",820
92,1550.0,,recalls,that “lifeless bodies were taken on a stretcher to be ‘executed’ in the courtyard” and that shots were heard the next moment.,820
93,14007.0,,mistreated,"in Hedemannstrasse in April 1933, and in May of the same year his corpse was pulled from the Spree Canal with his throat cut.",820
94,3291.0,,was,head of the SA-Subgroup Berlin-East until his promotion to head of the Group Berlin-Brandenburg in March 1933.,820
95,3560.0,,replaced,"by Richard Fiedler, who previously had been Standartenführer of the SA-Standarte 6 Berlin-Mitte.",820
96,,954.0,remember,Witnesses,820
97,,954.0,instituted,"After the war, the General State Attorney’s Office of the German Democratic Republic",820
98,,11429.0,included,The second September transport,821
99,,9073.0,included,The second September transport,821
100,,10183.0,anarchist,"The second September transport included Polish citizen Roman Praschker, Nazi propagandist Kurt Lüdecke, and",821
101,11429.0,,characterized,"Plötzensee as “very humane.” Entering the camp on July 1, 1933, he had already been in custody since April, when the SA took him to the Horst-Wessel-Haus, a former Communist party building, for allegedly disseminating “atrocity stories.” For three weeks the SA tortured him, before sending him to the Alexanderplatz jail.",821
102,,9073.0,encountered,"At Plötzensee, Praschker",821
103,,14293.0,encountered,"At Plötzensee, Praschker",821
104,,10183.0,met,He also,821
105,,3022.0,encountered,"In the police wagon from Alexanderplatz to Plötzensee in July 1933, Lüdecke",821
106,9136.0,,shared,"it with Artur Mahraun, founder of the Order of Young Germans (Jungdeutsche Orden) and the small German State Party (DSP).",821
107,8181.0,,got,"permission to have a day companion, Schwarze Front member Günther Kübler.",821
108,,3515.0,met,"Immediately after his transfer to Plötzensee, Mahraun",821
109,8172.0,,smuggled,a letter outside Plötzensee with the assistance of “short-hand typist” Hildegard Freund.,821
110,3883.0,,smuggled,a letter outside Plötzensee with the assistance of “short-hand typist” Hildegard Freund.,821
111,14950.0,,was,Communist MdR Ernst Torgler.,821
112,6098.0,,took,"place on June 14, 1934, with the hanging of Richard Hüttig.",821
113,15507.0,,appropriated,"the site from the Stahlhelm in order to establish an SA leadership school, which was completed in June 1933.",80
114,10106.0,,accounted,for the SA’s eagerness in erecting the camp: “In the eyes of the Nazis it [Bochum] was a ‘red bastion.’ “‘ Among the prisoners were Communist Party member Emil Schevenerdel and trade unionist Fritz Viktor.,80
115,12860.0,,were,Communist Party member Emil Schevenerdel and trade unionist Fritz Viktor.,80
116,15380.0,,were,Communist Party member Emil Schevenerdel and trade unionist Fritz Viktor.,80
117,12818.0,,turned,"to Ernst Scheidges, director of Brauweiler, with a request to expand the number of prisoners held at the Institute.",93
118,16748.0,,brought,in.,93
119,693.0,,brought,in.,93
120,1480.0,,succeeded,Scheidges as director.,93
121,5224.0,,ordered,"the camp closed at the beginning of March 1934, even while 285 people were still being held there.",93
122,75.0,,was,the former mayor of Cologne and later federal chancellor Konrad Adenauer.,93
123,,5865.0,bear,"However, the numbers confirm the well-known fact that the Communists were the first to",94
124,5224.0,,declared,"an amnesty in which 5,000 protective custody prisoners would be released in two stages.",94
125,7340.0,,was,Polizeileutnant Joseph Knöpke.,125
126,9575.0,,excluded,78 workhouse inmates.,125
127,13099.0,,Titled,"“Der Posten,” by Alfred Schrappel, the first, fourth, and seventh stanzas read:
1. Who watches over us by day and night?",125
128,15853.0,,slashed,"his wrists in an unsuccessful suicide attempt, the guards responded by prohibiting knives except as eating utensils.",125
129,4831.0,,prompted,"SA-Scharführer Hemetner to brag, “See, it’s not only the proletarians who get beaten by us!",125
130,10658.0,,were,Geringswalde mayor Wilhelm Orphall and Stahlhelm member Max Fiedler.,125
131,3559.0,,were,Geringswalde mayor Wilhelm Orphall and Stahlhelm member Max Fiedler.,125
132,8725.0,,documented,resistance inside Colditz.,125
133,722.0,,were,on the list.,125
134,5624.0,,held,briefly at Colditz.,125
135,,7096.0,murdered,SS guards,826
136,14859.0,,tortured,with a cane and riding whip so severely that he had to be brought to the state hospital on the same day.,826
137,,15349.0,murdered,"On November 27, 1933, the SS",826
138,12814.0,,connected,to Columbia-Haus as well.,826
139,13243.0,,connected,to Columbia-Haus as well.,826
140,14163.0,,connected,to Columbia-Haus as well.,826
141,13326.0,,connected,to Columbia-Haus as well.,826
142,4326.0,,is,"Walter Gerlach, who served in this position until December 1, 1934.",826
143,11882.0,,succeeded,him.,826
144,7362.0,,arrived,.,826
145,2615.0,,was,the last commandant.,826
146,3118.0,,viewed,his apparently too lenient treatment of the prisoners as “unsuited” for the camp.,826
147,7376.0,,served,"as commandant until September 1, 1936, without ever being formally appointed to this position.",826
148,3030.0,,appointed,to the headquarters of the Columbia concentration camp.,826
149,5865.0,,provided,the guard staff.,826
150,,1932.0,featured,"The cover of the May 23, 1935, issue of the
Arbeiter Illustrierte Zeitung
—which was published in exile in
Prague",826
151,1768.0,,met,"with two prisoners, Hausmann and Wiendieck, who were both close colleagues of the former Silesian Gauleiter and Provincial President Helmut Brückner, who was also imprisoned in Columbia-Haus.",826
152,12566.0,,met,"each other through Dr. Josef Römer, former head of the Free Corps Oberland and later co-leader of the Uhrig-Römer-Resistance Organization.",826
153,,11074.0,held,In 1948 the 10th Grand Criminal Court of the Berlin Regional Court,826
154,11882.0,,failed,.,826
155,7362.0,,failed,.,826
156,4326.0,,failed,.,826
157,2615.0,,failed,.,826
158,5827.0,,appointed,"Dachau’s guard commander,  SS- Standartenführer Hans Loritz (Nazi Party [NSDAP] No.",827
159,,8939.0,appointed,"As commandant, Heinrich Himmler",827
160,7362.0,,commandant,", SS-Obersturmbannführer Karl Otto Koch (NSDAP No.",827
161,3118.0,,framed,the penalties.,827
162,14095.0,,recalled,how work details were made to sing.,827
163,16086.0,,recalled,how work details were made to sing.,827
164,10313.0,,recalled,that the camp underground urged their doing so in order to avoid retaliation.,827
165,11006.0,,Listed,"among the causes of death were 10 shootings and 1 suicide, but not included were prisoners who subsequently died of gunshot wounds, such as Otto Peters, or victims of SS mistreatment, like Louis Schild.",827
166,12881.0,,Listed,"among the causes of death were 10 shootings and 1 suicide, but not included were prisoners who subsequently died of gunshot wounds, such as Otto Peters, or victims of SS mistreatment, like Louis Schild.",827
167,9070.0,,taken,to the forest south of camp and murdered.,827
168,7160.0,,died,in local hospitals.,827
169,8698.0,,’s,Catholic Church in Berlin-Charlottenberg received a report describing murders at Esterwegen.,827
170,5224.0,,delivered,"it to the Prussian Ministry of the Interior, where officials rebuffed his additional demand to meet with Hermann Göring.",827
171,1027.0,,reached,Eicke and the Gestapo’s Dr. Werner Best.,827
172,10669.0,,galvanized,international opinion.,827
173,9080.0,,threatened,his life.,827
174,5782.0,,justified,"Ossietzky’s continued detention, despite the greater publicity that arose from his receiving the Nobel Peace Prize in November 1936.",827
175,2045.0,,Catchpool,", Carl Burckhardt (International Committee of the Red Cross [ICRC]), and a Dutch delegation attempted to visit Ossietzky.",827
176,1849.0,,Catchpool,", Carl Burckhardt (International Committee of the Red Cross [ICRC]), and a Dutch delegation attempted to visit Ossietzky.",827
177,,3238.0,Representing,"Representing the exiled Zentral-Wuppertal-Komitee, Clara Enthoven, H. van Zutphen, and Father N. Padt asked to see Ossietzky on May 22, 1936, but Koch dismissed their request",827
178,,16695.0,Representing,"Representing the exiled Zentral-Wuppertal-Komitee, Clara Enthoven, H. van Zutphen, and Father N. Padt asked to see Ossietzky on May 22, 1936, but Koch dismissed their request",827
179,10729.0,,asked,"to see Ossietzky on May 22, 1936, but Koch dismissed their request.",827
180,13939.0,,was,a Papenburg SS guard who returned to Esterwegen from 1934 to April 1936.,827
181,11791.0,,sentenced,"him to life in a penitentiary plus 15 years for 67 murders and 20 attempted murders, including the Esterwegen deaths of Schild, Friedrich Ravensgaard, and an unnamed detainee.",827
182,11696.0,,joined,Papenburg VI/Oberlangen’s SA staff.,827
183,5792.0,,contended,"for the property, the SS sold Esterwegen on September 23 to the Reich Justice Ministry, where it became Papenburg’s seventh penal camp.",827
184,1950.0,,served,"as a “protective custody” camp since the Nazi takeover, as indicated by the detention of Social Democratic Landtag (parliament) member Karl Fick between March and September 1933.",182
185,3551.0,,served,"as a “protective custody” camp since the Nazi takeover, as indicated by the detention of Social Democratic Landtag (parliament) member Karl Fick between March and September 1933.",182
186,,8974.0,included,"In late September 1933, Eutin received 19 new inmates classified as “undesirables.” The right-wing prisoners",182
187,,5865.0,insulting,"Among the three female prisoners, one was held for",182
188,6494.0,,left,"detention the next day, after paying a 2,000 Reichsmark (RM) fine.",182
189,14784.0,,commanded,Eutin and related camps.,182
190,14255.0,,eluded,justice with his patron’s protection.,182
191,814.0,,was,"SA-Scharführer Siegfried Beilisch, who served as camp accountant until the dissolution of Eutin.",182
192,13366.0,,was,Gerichtsassessor Heinz Seetzen (NSDAP number 2732725).,182
193,11645.0,,showed,how Weimar-era political feuds carried over into the early Nazi camps.,182
194,,1859.0,targeted,"After the Nazi takeover, the police",182
195,14874.0,,thrashed,"the lead suspect, Ernst L. of Stokkelsdorf, with a whip and rubber truncheon.",182
196,3083.0,,experienced,these institutional changes.,182
197,8905.0,,established,Schleswig-Holstein’s first concentration camp at the Glückstadt workhouse.,232
198,5383.0,,became,the director in 1923 and was still in charge during the time of the concentration camp.,232
199,15457.0,,oversaw,the guards’ appointment.,232
200,4841.0,,died,of natural causes while on duty.,232
201,10849.0,,painted,a portrait of Martin Luther.,232
202,,9029.0,painted,"As part of his reeducation, Communist prisoner Wilhelm Passing",232
203,5408.0,,prompted,Hampe to query his superiors about appropriate reading material.,232
204,15444.0,,were,"“two wonderful people.” Richard Hansen of the exile organization Sopade in Copenhagen reported that prisoners were not harmed, according to information furnished by newly released inmate Friedrich Hansen.",232
205,5410.0,,reported,"that prisoners were not harmed, according to information furnished by newly released inmate Friedrich Hansen.",232
206,5408.0,,reported,"that prisoners were not harmed, according to information furnished by newly released inmate Friedrich Hansen.",232
207,7287.0,,were,Johannes Klünder and Fritz Wollert.,232
208,16231.0,,were,Johannes Klünder and Fritz Wollert.,232
209,12808.0,,abused,", but the perpetrator’s identity is not known.",232
210,11958.0,,called,"“grub packets.” These parcels included the little smoked fish popular in northern Germany, Kieler Sprotten.",232
211,804.0,,was,"Ernst Behrens, a Socialist town council member and poet.",232
212,1405.0,,ordered,"that the prison at Gollnow be used extensively for protective custody prisoners, since local police detention centers were overcrowded.",235
213,10065.0,,declared,that he was willing to make 110 spots available in the Zentralgefängnis for political prisoners.,235
214,5865.0,,stand,"up at the playing of the national anthem, and they began singing “The Internationale” in the corridors.",235
215,4224.0,,was,"to “continue the struggle in the spirit of the party and the antifascist struggle behind prison walls and at the same time to give all comrades instructions on how to behave in solitary confinement.” It reported, for instance, that books and papers could   be officially exchanged through the sentry and also encouraged political discussion with cell neighbors: “It’s easy: one writes down a discussion question and gives it to his neighbor at the beginning of free period.",235
216,8386.0,,reported,"that the officers operated with the motto “Calm in the prison, everything clean, don’t bother me and I won’t bother you.” They were lazy and did not wish to be bothered.",235
217,4976.0,,reported,"that a prison guard came to help as two Stettin detectives beat him, and he also spoke out against the beating of prisoners.",235
218,2663.0,,ended,"up on the desk of Rudolf Diels, head of the Secret State Police Office (Gestapa), who immediately informed all district presidents (Regierungspräsidenten) about the emergence of the “inflammatory communist newspaper.” All heads of prisons and concentration camps should be on their guard against “a revival of communist agitation.” Surveillance and control measures were intensified.",235
219,5222.0,,put,pressure on Regierungspräsident Konrad Göppert.,235
220,5672.0,,known,at this time.,238
221,12941.0,,led,"to further persecution in prisons and penitentiaries, in the women’s concentration camps Moringen, Lichtenburg, and Ravensbrück, and, in the case of Gertrud Schlotterbeck and Emmi Ramin, to their execution.",238
222,11714.0,,led,"to further persecution in prisons and penitentiaries, in the women’s concentration camps Moringen, Lichtenburg, and Ravensbrück, and, in the case of Gertrud Schlotterbeck and Emmi Ramin, to their execution.",238
223,8458.0,,stated,", “Whoever could sought handicraft from their relatives.",238
224,53.0,,tried,to teach some Spanish to those who were interested.,238
225,13305.0,,attest,.,238
226,13305.0,,writes,).,238
227,15756.0,,leaped,"onto the table, lifted her skirt to reveal her petticoat, and shouted: “This is our red flag.” Puzzled, the guards left the room.",238
228,6414.0,,guarded,"the camp, but in May this responsibility fell to SA-Standarte 102 (Zittau) under SA-Standartenführer Paul Unterstab.",269
229,15193.0,,guarded,"the camp, but in May this responsibility fell to SA-Standarte 102 (Zittau) under SA-Standartenführer Paul Unterstab.",269
230,3067.0,,recalled,"a rumor that the prisoners would be released on May Day, but it turned out not to have any foundation.",269
231,921.0,,experienced,a rare moment of humor after a reeducation session.,269
232,7759.0,,Kraus,", the institutions operated as camps at least through November 1933.",278
233,2430.0,,were,Gustav Dahrendorf and Karl Meitmann.,278
234,9591.0,,were,Gustav Dahrendorf and Karl Meitmann.,278
235,1588.0,,were,about 150 prisoners.,278
236,7576.0,,garnered,fulsome praise from Hamburg Gauleiter Karl Kaufmann.,278
237,6861.0,,garnered,fulsome praise from Hamburg Gauleiter Karl Kaufmann.,278
238,13327.0,,died,after falling or being pushed out of a five-story window.,278
239,10929.0,,learned,"that torture took place “in the second-story room.” His account supported the anonymous prisoner who identified the place as “Room 203.” Based on the report of his late comrade Communist Member of the Reichstag (MdR) Matthias Thesen, Fuhlsbüttel detainee Willi Bredel claimed in his novel Die Prüfung that the torture site was “the feared Room 103.” Other prisoners recalled that torture took place at K.z.b.V.’s headquarters, located in a building adjacent to the Stadthaus called Grosse Bleichen.",278
240,14825.0,,claimed,"in his novel Die Prüfung that the torture site was “the feared Room 103.” Other prisoners recalled that torture took place at K.z.b.V.’s headquarters, located in a building adjacent to the Stadthaus called Grosse Bleichen.",278
241,1609.0,,claimed,"in his novel Die Prüfung that the torture site was “the feared Room 103.” Other prisoners recalled that torture took place at K.z.b.V.’s headquarters, located in a building adjacent to the Stadthaus called Grosse Bleichen.",278
242,12945.0,,reported,hearing about mistreatment or seeing injured prisoners but did not personally experience violent interrogation.,278
243,1936.0,,delivered,"to the Stadthaus from the Holstenglacis prison for interrogation in a “cellar room.” Although questioned for two hours, he was not harmed.",278
244,5580.0,,suffered,torture.,278
245,447.0,,suffered,torture.,278
246,13190.0,,was,"Fiete Schulze, a member of the German Communist Party (KPD) arrested in the spring of 1933.",278
247,13182.0,,are,"only short accounts from two former prisoners, Paul Schulz and Otto Gerdtke.",281
248,4313.0,,are,"only short accounts from two former prisoners, Paul Schulz and Otto Gerdtke.",281
249,,12641.0,witnessed,Several,281
250,7611.0,,know,"of the June 30, 1933, murder of Russian revolutionary Wladimir Kotkow, who—along with prisoners Paul Prüfert and Paul Schabe—was murdered by the SS on the way from Hammerstein to Sonnenburg.",281
251,11502.0,,murdered,by the SS on the way from Hammerstein to Sonnenburg.,281
252,12756.0,,murdered,by the SS on the way from Hammerstein to Sonnenburg.,281
253,2445.0,,undertake,the guarding of all concentration camps.,281
254,89.0,,led,to protests from the foreign press and resulted in his demotion to a “simple” SS-Scharführer and transfer to Sonnenburg concentration camp.,281
255,5830.0,,complained,about brutal treatment at Heinersdorf.,297
256,4837.0,,complained,about brutal treatment at Heinersdorf.,297
257,10055.0,,supposed,to have suffered particularly severely.,297
258,235.0,,were,"Emmerich Ambross, Kurt Glaser, Gerhard Schubert, and Pastor Rudolf Stempel.",320
259,4489.0,,were,"Emmerich Ambross, Kurt Glaser, Gerhard Schubert, and Pastor Rudolf Stempel.",320
260,13131.0,,were,"Emmerich Ambross, Kurt Glaser, Gerhard Schubert, and Pastor Rudolf Stempel.",320
261,14180.0,,were,"Emmerich Ambross, Kurt Glaser, Gerhard Schubert, and Pastor Rudolf Stempel.",320
262,,3968.0,murdered,"In September 1933, the SA",320
263,6498.0,,was,"camp commandant, and his deputy was SA-Sturmbannführer Friedrich.",320
264,15198.0,,cease,"with initiation, because Sundays were reserved for camp exercise.",320
265,15198.0,,defined,"a swing as a “boy, cleaner, chamber servant, or however you will call it.” “Whites,” “Greens,” and “Yellows” had the run of the camp, and only high-ranking SA issued orders to “Whites.” Hohnstein prisoners all wore a crew cut, except for “Whites.” On January 22, 1934, Urban became a swing for Jähnichen, Friedrich, Heinicker, Küchler, Schupp, and Flott.",320
266,7290.0,,were,"Frau Schulz and Eva Knabe, who painted portraits for the camp staff.",320
267,10144.0,,was,Saxon Gauleiter Martin Mutschmann.,320
268,5576.0,,was,"Saxon Stahlhelm leader Prince Ernst Heinrich of the Wettin family, who was held for five days.",320
269,,1641.0,caught,The police,320
270,,12004.0,caught,The police,320
271,,15131.0,caught,The police,320
272,5249.0,,commented,": “Such oriental sadism as these atrocities could find no explanation or excuse, even in the most bitter struggle.” In an example of Nazi antisemitism’s effect on the German judicial system in the months before the enactment of the Nuremberg Racial Laws, Gürtner proposed the lowering of Jähnichen’s prison sentence.",320
273,15564.0,,regarded,as his personal enemies.,361
274,,10507.0,used,Wagner,361
275,11930.0,,brought,"to Kislau from Karlsruhe, where they were paraded on the back of an open truck.",361
276,9403.0,,brought,"to Kislau from Karlsruhe, where they were paraded on the back of an open truck.",361
277,11930.0,,commented,"that “Das Wandern ist des Müllers Lust” (“Hiking is the Miller’s Pleasure”),1 a quotation from an old German folk song, which alluded to the former profession of Adam Remmele.",361
278,10235.0,,risked,joining their colleagues on the truck.,361
279,12725.0,,were,"the vice-commander of the camp, Karl Sauer, and the leader of the guards, Heinrich Stix.",361
280,14244.0,,were,"the vice-commander of the camp, Karl Sauer, and the leader of the guards, Heinrich Stix.",361
281,9965.0,,was,away on holiday.,361
