Index,Designation,First Name,Alt First Name,Middle Name,Last Name,Alt Last Name,Title,Place,Organization
141,Individual,Iossef/Jacques,,,Albala,,,,
142,Individual,Mosze,,,Alban,,,,
143,Individual,Emanuel,,,Alberg,,,,
144,Individual,,,,Albermann,,,,
145,Individual,Faive,,,Alberstein,,,,
146,Individual,Chaim,,,Albert,,,,
147,Individual,Lázár,,,Albert,,,,
148,Individual,,,,Albert,,Prince of Belgium,Belgium,
149,Individual,Rudolf,,,Alberti,,,,
150,Individual,Umberto,,,Albini,,,,
151,Individual,,,,Albrecht,,,,
152,Individual,Bruno,,,Albrecht,,,,
153,Individual,Friedrich,,Wilhelm,Albrecht,,,,
154,Individual,Heinz,,,Albrecht,,,,
155,Individual,Mojżesz,,,Albrecht,,,,
156,Individual,Paul,,,Albrecht,,,,
157,Individual,Nicolae,,,Albu,,,,
158,Individual,Walter,,,Aldinger,,,,
159,Individual,Cicero,,,Aldo,,,,
160,Individual,Teodor,,,Alectoride,,,,
161,Individual,Peter,,,Alef,,,,
162,Individual,Sholom,,,Aleichem,,,,
163,Individual,A.A.,,,Alekseev,,,,
164,Individual,Jan,,,Aleksiejuk,,,,
165,Individual,,,,Aleksy,,,,
166,Individual,Antanas,,,Aleliūnas,,,,
167,Individual,Antanas,,,Alemas,,,,
168,Family,,,,Aleshinskii,,,,
169,Individual,Iankel’,,,Aleshinskii,,,,
170,Individual,G.,,V.,Alesiuk,,,,
171,Individual,Grigorii,,,Alesiuk,,,,
172,Individual,Filippo,,,Alessandrini,,,,
173,Individual,,,,Alexander I,,,,
174,Individual,,,,Alexander II,,,,
175,Individual,Hans,,,Alexander,,,,
176,Individual,,,,Alexander,,Prince of Belgium,Belgium,
177,Individual,Constantin,,,Alexandrescu,,,,
178,Individual,Gheorghe,,,Alexianu,,,,
179,Individual,,,,Alferchik,,,,
180,Individual,Mamadou,,,Aliou,,,,
181,Individual,Feizi,,,Alizoti,,,,
182,Individual,Josef,,,Alkalaj,,,,
183,Individual,Leon,,,Alkalaj,,,,
184,Individual,Itsak,,David,Alkutser,,,,
185,Individual,Léon,Hector,,Allain,,,,
186,Individual,Blanche,,,Allart,,,,
187,Individual,Alfred,,,Aller,,,,
188,Individual,Mauricy,,,Allerhand,,,,
189,Individual,,,,Alleter,,,,
190,Individual,Oswald,,,Allhäuser,,,,
191,Individual,,,,Alnor,,,,
192,Individual,Francesco,,,Alongi,,,,
193,Individual,Olga,,,Alpar,,,,
194,Individual,David,,,Alper,,,,
195,Individual,,,,Alperovitch,,,,
196,Individual,Berl,,,Alperovitz,,,,
197,Individual,M.,,,Alperowicz,,,,
198,Individual,,,,Alperstein,,,,
199,Individual,Naftali,,,Alperstein,,,,
200,Individual,,,,Alpert,,,,
201,Individual,Karl,,,Alt,,,,
202,Individual,Georg,,von,Alten,,,,
203,Individual,Marek,,,Alten,,,,
204,Individual,Wilhelm,,,Altenloh,,,,
205,Individual,Abraham,,Mordecai,Alter,,,,
206,Individual,Hugo,,,Alter,,,,
207,Individual,Iccak,,,Alter,,,,
208,Individual,Iţic,,,Alter,,,,
209,Individual,Theofried,,,Alter,,,,
210,Individual,,,,Alterman,,,,
211,Individual,Chanan,,,Alterman,,,,
212,Individual,Szyja,,,Alterman,,,,
213,Individual,Hans,,,Altfuldisch,,,,
214,Individual,,,,Altman,,,,
215,Family,,,,Altman,,,,
216,Individual,Bela,,,Altman,,,,
217,Individual,Dawid,,,Altman,,,,
218,Individual,Moszek,,,Altman,,,,
219,Individual,Szaje,,,Altman,,,,
220,Individual,Tosia,,,Altman,,,,
221,Individual,Zvi/Cwi,,,Altman,,,,
222,Individual,Erich,,,Altmann,,,,
223,Individual,Hermann,,,Altmann,,,,
224,Individual,Bronislav,,,Altshuler,,,,
225,Individual,Clara,,,Altshuler,,,,
226,Individual,Zalmen,,,Altvarg,,,,
227,Individual,François-Pierre,,,Alype,,,,
228,Individual,Rubin,,,Alămaru,,,,
229,Individual,,,,Amalek,,,,
230,Individual,,,,Amarandei,,,,
231,Individual,Joaquim,,,Amat-Piniella,,,,
232,Individual,,,,Amberg,,,,
233,Individual,Chaium,,,Amberg,,,,
234,Individual,Otto,,,Ambros,,,,
235,Individual,Emmerich,,,Ambross,,,,
236,Individual,Romulus,,,Ambruş,,,,
237,Individual,Woldemar/Waldemar,,,Amelung,,,,
238,Individual,Karp,,,Amel’chenko,,,,
239,Individual,Benjamin,,,Amikam,,,,
240,Individual,Zaheva,,,Amitz,,,,
241,Individual,,,,Amman,,,,
242,Individual,Armando,,,Ammazzalorso,,,,
243,Individual,Abderhaman,,ben,Amor,,,,
244,Individual,Antonio,,,Amoroso,,,,
245,Individual,Lejka,,,Amrufel,,,,
246,Individual,Pearl,,,Amsel,,,,
247,Individual,Albert,,,Amselek,,,,
248,Individual,,,,Anan,,,,
249,Individual,Stergios,,,Anastasiadēs,,,,
250,Individual,Heinrich,,,Anderman,,,,
251,Individual,Janek,,,Anderman,,,,
252,Individual,Leon,,,Anderman,,,,
253,Individual,Johanna,,Edith,Anders,,,,
254,Individual,Olea,,,Andesburg,,,,
255,Individual,Vladas,,,Andonas,,,,
256,Individual,Grigore,,,Andonianţ,,,,
257,Individual,Herbert,,,Andorfer,,,,
258,Individual,Albert,,,Andree,,,,
259,Individual,Max,,,Andree,,,,
260,Individual,Cocuz,,,Andrei,,,,
261,Individual,Wacław,,,Andresiewicz,,,,
262,Individual,,,,Andrey,,,,
263,Individual,Valentina,,,Andreyeva,,,,
264,Individual,Andrien,,,Andrieu,,,,
265,Individual,Wacław,,,Andrusiewicz,,,,
266,Individual,Afanasie,,Grigorievici,Andrusin,,,,
267,Individual,Grigorii,,Vasil’evich,Andrusiv,,,,
268,Individual,,,,Andrzejewski,,,,
269,Individual,Jean,,,Andréis,,,,
270,Family,,,,Andzelm,,,,
271,Individual,Manuel,,,Andújar,,,,
272,Individual,Rosa,,,Angel,,,,
273,Individual,Alexander,,,Angeli,,,,
274,Individual,,,,Angelovich,,,,
275,Individual,Ernst,,,Angerer,,,,
276,Individual,Rudolf,,,Angerer,,,,
277,Individual,Mordechaj/Mordechai,,,Anielewicz,,,,
278,Individual,Ol’ga,,,Anishchenko,,,,
279,Individual,Stanislovas,,,Aniulis,,,,
280,Individual,Paul,,,Anker,,,,
281,Individual,Erna,,,Anolik,,,,
282,Individual,Adrianao,,,Ansaldi,,,,
283,Individual,Leo,,,Ansbacher,,,,
284,Individual,Willi,,,Anschütz,,,,
285,Individual,Werner,,,Ansel,,,,
286,Individual,Michel,,,Ansky,,,,
287,Individual,Mania,,,Ansolis,,,,
288,Individual,Pál,,,Antalffy,,,,
289,Individual,Arno,,,Anthoni,,,,
290,Individual,Leonid,,,Antipov,,,,
291,Individual,Ödön,,,Antl,,,,
292,Individual,Maurice,,,Antoine,,,,
293,Individual,Wilhelm,,,Anton,,,,
294,Individual,Ion,,,Antonescu,,,,
295,Individual,Maria,,,Antonescu,,,,
296,Individual,Mihai,,,Antonescu,,,,
297,Individual,G.I.,,,Antonov,,,,
298,Individual,Wilhelm,,,Ants,,,,
299,Individual,Zechariah,,,Antwerg,,,,
300,Individual,Raymond,,,Anty,,,,
301,Individual,,,,Antz,,,,
302,Individual,Gerasimos,,,Antōnatos,,,,
303,Individual,Roza,Rosa Angel,,Anzhel,,,,
304,Individual,Mohamed,,,Aouad,,,,
305,Individual,,,,Apel,,,,
306,Individual,Linde,,,Apel,,,,
307,Individual,Mojżesz,,,Apelbaum,,,,
308,Individual,Iurii,,,Apel’,,,,
309,Family,,,,Apfelbaum,,,,
310,Individual,Icek,,,Apfelbaum,,,,
311,Individual,Jakub,,,Apfelbaum,,,,
312,Individual,,,,Apitz,,,,
313,Individual,,,,Apkin,,,,
314,Individual,Teodor,,,Apolzan,,,,
315,Individual,Apostolos,,,Apostolidis,,,,
316,Individual,Jakub,,,Appel,,,,
317,Individual,,,,Appelbaum,,,,
318,Individual,Mirko,,,Appelt,,,,
319,Individual,Maria,,,Appignanesi,,,,
320,Individual,Yitzhak,,,Arad,,,,
321,Individual,,,,Aranowicz,,,,
322,Individual,Paul,,,Arato,,,,
323,Individual,Hela,,,Arbeiter,,,,
324,Individual,Benedetto,,,Arbib,,,,
325,Individual,Szmul,,,Arbus,,,,
326,Individual,,,,Arbuz,,,,
327,Individual,Szmul,,,Arbuz,,,,
328,Individual,Yaakov,,,Arbuz,,,,
329,Individual,Jadwiga,,,Arcichovska,,,,
330,Individual,Robert,,,Ardelt,,,,
331,Individual,Egon,,,Arendt,,,,
332,Individual,Gustav,,Baum,Arendt,,,,
333,Individual,,,,Arenz,,,,
334,Individual,,,,Argentyńczyk,,,,
335,Family,,,,Arliukevich,,,,
336,Individual,Walter,,,Arlt,,,,
337,Individual,Shabtai,,,Arluk,,,,
338,Individual,Stefano,,,Armanasco,,,,
339,Individual,Jehan,,d’,Armancourt,,,,
340,Individual,Quirino,,,Armellini,,,,
341,Individual,Raymond,,,Arnaud,,,,
342,Individual,Herbert,,Gustaw,Arndt,,,,
343,Individual,Adolf Julius Albrecht Bernd Count,,von,Arnim,,,,
344,Individual,Hans-Jürgen,,von,Arnim,,,,
345,Individual,,,,Arnold,,,,
346,Individual,Bruno,,,Arnold,,,,
347,Individual,Henryk,,,Arnold,,,,
348,Individual,Otto,,,Arnold,,,,
349,Individual,Rudolf,,,Arnold,,,,
350,Individual,Moshe,,,Aron,,,,
351,Individual,Lėja,,,Aronaitė,,,,
352,Family,,,,Aronchik,,,,
353,Individual,Basia,,,Aronchik,,,,
354,Individual,Hirsh,,,Aronchik,,,,
355,Individual,Rakhel’,,,Aronchik,,,,
356,Individual,A.,,,Aronin,,,,
357,Individual,Motel,,,Aronson,,,,
358,Individual,Tanchum,,,Aronstamm,,,,
359,Individual,Leib,,,Aronzon,,,,
360,Individual,,,,Arsche,,,,
361,Family,,,,Artecki,,,,
362,Individual,H.C.,,,Artmann,,,,
363,Individual,Johann,,,Artmann,,,,
364,Individual,Joseph,,,Arturjanz,,,,
365,Individual,Viktors,,,Arājs,,,,
366,Individual,Mazal,,,Asael,,,,
367,Individual,Hans-Adolf,,,Asbach,,,,
368,Individual,,,von,Ascheberg,,,,
369,Individual,Eti,,,Aschenazi,,,,
370,Individual,Heinrich,,,Aschenbrenner,,,,
371,Individual,Werner,,,Ascher,,,,
372,Individual,Josef,,,Aschmann,,,,
373,Individual,Wolf,,,Ashendorf,,,,
374,Individual,Moshe,,Shloyme,Ashers,,,,
375,Individual,Isaac,,,Asimov,,,,
376,Individual,Rema,,,Asinovskaya-Khodasevich,,,,
377,Individual,Vasilii,,,Asipovets,,,,
378,Individual,J.,,,Askanas,,,,
379,Individual,Mariam,,,Askes,,,,
380,Individual,Sonia,,,Asovskaia,,,,
381,Individual,Esther,,,Ass,,,,
382,Individual,Erich,,,Assmann,,,,
383,Individual,Karl,,,Assmuss,,,,
384,Individual,André,,,Assuied,,,,
385,Individual,Mina,,,Astmann,,,,
386,Individual,Nancy,,,Astor,,,,
387,Individual,,,,Astrakhanskii,,,,
388,Individual,Pellegrino,,,Astrologo,,,,
389,Individual,,,,Astromsky,,,,
390,Individual,,,,Astrov,,,,
391,Individual,,,,Asya,,,,
392,Individual,,,,Atamanchuk,,,,
393,Individual,S.,,,Atanasiu,,,,
394,Individual,Todor,,Boichev,Atanasov,,,,
395,Individual,John,,,Atkinson,,,,
396,Individual,Jakob,,,Atlas,,,,
397,Individual,Jozef,,,Atlas,,,,
398,Individual,Samuel,,,Atlas,,,,
399,Individual,Yehezkel,,,Atlas,,,,
400,Individual,Yitzhak,,,Atlas,,,,
401,Individual,Ya.,,V.,Atrakhimovich,,,,
402,Individual,Grigoris,,,Atsalis,,,,
403,Individual,Léa,,,Attali,,,,
404,Individual,Friedrich,,,Attinger,,,,
405,Individual,Max,,,Aub Mohrenwitz,,,,
406,Individual,Antanis,,,Audronis,,,,
407,Individual,Franz,,,Auer,,,,
408,Individual,Karl,,,Auer,,,,
409,Individual,Heinrich,,,Auerbach,,,,
410,Individual,Philipp,,,Auerbach,,,,
411,Individual,Heinz,,,Auerswald,,,,
412,Individual,Willi,,,Auerswald,,,,
413,Individual,Henric,,,Auflegher,,,,
414,Individual,Roger,,,Auger,,,,
415,Individual,,,,August Wilhelm,,Prussian Crown Prince,,
416,Individual,Juozas,,,Augustas,,,,
417,Individual,Erich,,,Augustin,,,,
418,Individual,Hans,,,Augustin,,,,
419,Individual,Walter,,,Augustin,,,,
420,Individual,Erazm,,,Augustyniak,,,,
421,Individual,,,,Aujaleu,,,,
422,Individual,André,,,Aulanier,,,,
423,Individual,Hans,,,Aumeier,,,,
424,Individual,Franz,,,Auracher,,,,
425,Individual,Nicolae,,,Aurel,,,,
426,Individual,,,,Auschberg,,,,
427,Individual,,,,Auschrat,,,,
428,Individual,,,,Auswald,,,,
429,Individual,,,,Auszberg,,,,
430,Individual,Robert-Stéphane,,,Auzanneau,,,,
431,Individual,,,,Avelin,,,,
432,Individual,Yeōrgios,,,Averōf,,,,
433,Individual,Avraham,,,Aviel,,,,
434,Individual,Domenico,,,Avitabile,,,,
435,Individual,,,,Avlasenko,,,,
436,Individual,David,,,Avrukhin,,,,
437,Individual,Artur,,,Axt,,,,
438,Individual,Isidor,,,Ayache,,,,
439,Individual,Wolfgang,,,Ayass,,,,
440,Individual,Shlomo,,,Ayzenberg,,,,
441,Individual,Eliyah,,,Ayzenbud,,,,
442,Individual,,,,Ayzenshtat,,,,
443,Individual,Semen,,,Azimov,,,,
444,Individual,Jakub,,Josek,Azjenberg,,,,
445,Individual,Hassou,,,Azontondji,,,,
446,Individual,Milan,,,Aćimović,,,,
447,Individual,Herbert,,,Baade,,,,
448,Individual,,,,Baar,,,,
449,Individual,,,,Babak,,,,
450,Individual,,,,Babchenkov,,,,
451,Individual,,,,Babenko,,,,
452,Individual,Ante,,,Babich,,,,
453,Individual,Louis,,,Babin,,,,
454,Family,,,,Babitskii,,,,
455,Individual,Ada,,,Babkis,,,,
456,Individual,Aron,,,Babkis,,,,
457,Individual,Yakob,,,Babkis,,,,
458,Individual,Erich von dem,,,Bach Zelewski,,,,
459,Individual,Abraham,,,Bach,,,,
460,Individual,Alfred,,,Bach,,,,
461,Individual,Sally,,,Bach,,,,
462,Individual,Erich von dem,,,Bach-Zelewski,,,,
463,Individual,,,,Bachar,,,,
464,Individual,Eduard,,,Bachl,,,,
465,Individual,Kaspar,,,Bachl,,,,
466,Individual,Josef,,,Bachmann,,,,
467,Individual,Georg,,,Bachmayer,,,,
468,Individual,Albert,,Karl,Backofen,,,,
469,Individual,Mosche,,,Baczyński,,,,
470,Individual,Szaja,,,Baczyński,,,,
471,Individual,Karl,,,Bade,,,,
472,Individual,Paul,,,Bader,,,,
473,Individual,Alfred,,,Baderot,,,,
474,Individual,,,,Badia,,,,
475,Individual,David,,,Badian,,,,
476,Individual,Pietro,,,Badoglio,,,,
477,Individual,Mahed,,,Badsi,,,,
478,Individual,Hans,,,Badstuebner,,,,
479,Individual,Richard,,,Baer,,,,
480,Individual,Henryk,,,Bagiński,,,,
481,Individual,Teodor,,,Bahdaj,,,,
482,Individual,Moshe,,,Bahir,,,,
483,Individual,Wilhelm,,,Bahr,,,,
484,Individual,Vasilii,,,Baibak,,,,
485,Individual,Josef,,,Baider,,,,
486,Individual,Eva,,,Baik,,,,
487,Individual,,,,Baiński,,,,
488,Individual,Szlomo,,,Bajerski,,,,
489,Individual,,,,Bajlicki,,,,
490,Individual,Örnagy,,,Bajor,,,,
491,Individual,Idesa,,,Bajtel,,,,
492,Individual,Romuald,,,Bak,,,,
493,Individual,Bołeslaus,,,Bakacz,,,,
494,Individual,Nahum,,,Bakal,,,,
495,Individual,Herschel,,,Baker,,,,
496,Individual,I.,,I.,Bakhir,,,,
497,Individual,Aron,,,Baksht,,,,
498,Individual,,,,Bakszt,,,,
499,Individual,László,,,Baky,,,,
500,Individual,,,,Bal,,,,
501,Individual,Dov,,,Balaban,,,,
502,Individual,,,,Balashova,,,,
503,Individual,,,,Balbach,,,,
504,Individual,Vasilii,,,Balbas,,,,
505,Individual,,,,Balcarska,,,,
506,Individual,Natan,,,Balcer,,,,
507,Individual,Kurt,,,Baldauf,,,,
508,Individual,Bazyli,,,Bale[j]ko,,,,
509,Individual,Bazyli,,,Balejko,,,,
510,Individual,Konstanty,,,Balejko,,,,
511,Individual,Zoja,,,Baler,,,,
512,Individual,Jonas,,,Balevišius,,,,
513,Individual,Meshulam,,Aron,Bali,,,,
514,Individual,Jan,,,Balicki,,,,
515,Individual,Ventura,,,Baljak,,,,
516,Individual,Harry,,,Balke,,,,
517,Individual,Judit,,,Balkányi,,,,
518,Individual,Richard,,,Ballas,,,,
519,Individual,Heinrich,,,Ballmann,,,,
520,Individual,Fritz,,von,Balluseck,,,,
521,Individual,Kārlis,,,Balodis,,,,
522,Individual,Oskars,,,Balodis,,,,
523,Individual,András,,,Balogh,,,,
524,Individual,Károly,,,Balogh,,,,
525,Individual,Jan,,,Balonowski,,,,
526,Individual,D.,,,Balsam,,,,
527,Individual,Majer,,,Balser,,,,
528,Individual,Anton,,,Balthasar,,,,
529,Individual,Borisas,,,Baltutis,,,,
530,Individual,,,,Balzer,,,,
531,Individual,Josef,,,Balzer,,,,
532,Individual,Jenő,,,Balázs,,,,
533,Individual,Leonas,,,Balšiūnas,,,,
534,Individual,Archbishop,,of,Bamberg,,,,
535,Individual,Berthold,,,Bamberg,,,,
536,Individual,Milica,,,Band-Kun,,,,
537,Individual,Werner,,,Bandekow,,,,
538,Individual,,,,Bandel,,,,
539,Individual,Stepan,,,Bandera,,,,
540,Individual,,,,Banderowsky,,,,
541,Individual,Attilio,,,Bandini,,,,
542,Individual,Jacob,,,Bandrymer,,,,
543,Individual,George,,,Baner,,,,
544,Individual,Elemér,,,Banet,,,,
545,Individual,,,,Bangert,,,,
546,Individual,,,,Bania,,,,
547,Individual,,,,Baniolis,,,,
548,Individual,Johann,,,Bank,Bańkowski,,,
549,Individual,,,,Banke,,,,
550,Individual,Jakub,,,Banker,,,,
551,Individual,Christel,,,Bankewitz,,,,
552,Individual,Constantin,,,Bantaş,,,,
553,Individual,Georg,,,Banzer,,,,
554,Individual,Ryfka,,,Baposhnikov,,,,
555,Individual,Rivka,,,Bar,,,,
556,Individual,Andrei,,,Barabas,,,,
557,Individual,Mark,,,Barac,,,,
558,Individual,Karol,,,Barad,,,,
559,Individual,Anna,,,Baramysi,,,,
560,Individual,,,,Baran,,,,
561,Individual,Gregory,,,Baran,,,,
562,Individual,Jacob,,,Baran,,,,
563,Individual,Edvardas,,,Baranauskas,,,,
564,Individual,Mikhail,,,Baranchuk,,,,
565,Individual,,,,Baranchukov,,,,
566,Individual,Jakob,,,Baranek,,,,
567,Individual,D.,,,Baranker,,,,
568,Individual,,,,Baranovskii,,,,
569,Individual,Frank,,,Baranowski,,,,
570,Individual,Hermann,,,Baranowski,,,,
571,Individual,Khatskel’,,Berkovich,Baranskii,,,,
572,Individual,Nina,,,Barantseva,,,,
573,Individual,Ephraim,,,Barash,,,,
574,Individual,Kazys,,,Barauskas,,,,
575,Individual,Fanya,,,Barbakov,,,,
576,Individual,Toptia,,,Barbanel,,,,
577,Individual,Dario,,,Barbato,,,,
578,Individual,Kathleen,,,Barber,,,,
579,Individual,Gaspero,,,Barbera,,,,
580,Individual,Klaus,,,Barbie,,,,
581,Individual,Ion,,,Barcan,,,,
582,Individual,Vera,,,Barcza,,,,
583,Individual,Szymon,,,Barczyński,,,,
584,Individual,Franciszek,,,Barda,,,,
585,Individual,Albert,,,Bardi de Fourtou,,,,
586,Individual,Reinhold,,,Bardischefsky,,,,
587,Individual,Karol,,,Bardoń,,,,
588,Individual,Juozas,,,Bardza,,,,
589,Individual,Henryk,,,Barenblatt,,,,
590,Individual,R.,,,Barer,,,,
591,Individual,Jørgen,,H.,Barfod,,,,
592,Individual,Andreas,,,Barhard,,,,
593,Individual,Roland,,,Barillon,,,,
594,Individual,Esther,,,Barishman,,,,
595,Family,,,,Barkan,,,,
596,Individual,George,,,Barkatz,,,,
597,Individual,,,,Barkauskas,,,,
598,Individual,,,,Barkholt,,,,
599,Individual,Felicia,,,Barnabel,,,,
600,Individual,,,,Barner,,,,
601,Individual,Otto,,,Barnewald,,,,
602,Individual,Fred,,,Baron,,,,
603,Individual,Paul,,,Baron,,,,
604,Individual,Madeleine,,,Barot,,,,
605,Individual,Paul,,,Baroux,,,,
606,Individual,Jean-Joseph-Guillaume,,,Barrau,,,,
607,Individual,Vilmos,,,Barszony,,,,
608,Individual,Bernhard,,,Bart,,,,
609,Individual,Johanna,,,Barta,,,,
610,Individual,Dario,,,Bartato,,,,
611,Individual,Edmond,,,Bartaux,,,,
612,Individual,,,,Bartel,,,,
613,Individual,Erich,,,Bartels,,,,
614,Individual,Hermann,,,Bartels,,,,
615,Individual,Franz,,,Bartetzko,,,,
616,Individual,,,,Barth,,,,
617,Individual,Alfred,,,Barth,,,,
618,Individual,Emil,,,Barth,,,,
619,Individual,Fritz,,,Barth,,,,
620,Individual,Jakub,,,Barth,,,,
621,Individual,Lena,,,Barth,,,,
622,Individual,,,,Barthel,,,,
623,Individual,Rolf,,,Barthel,,,,
624,Individual,Heinz,,,Bartholl,,,,
625,Individual,Irena,,,Bartišauskaitė- Kazlauskienė,,,,
626,Individual,Josef,,,Bartl,,,,
